Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1032673,-113922,-107838,40442,316978,166171,-114135,227567,-118473,-114189,66378,233017,40210
1032674,-113952,-107861,40416,316989,166174,-114171,227534,-118502,-114223,66329,232931,40181
1032675,-113990,-107876,40387,317004,166114,-114209,227544,-118540,-114260,66286,232825,40156
1032676,-114044,-107882,40382,317049,166029,-114228,227635,-118573,-114279,66244,232713,40149
1032677,-114047,-107893,40385,317045,165994,-114287,227575,-118604,-114339,66176,232682,40150
1032678,-114064,-107909,40391,316990,166018,-114302,227473,-118601,-114353,66173,232713,40159
1032679,-114052,-107936,40370,316858,166026,-114324,227454,-118596,-114377,66185,232751,40136
1032680,-114067,-107961,40340,316852,166000,-114339,227484,-118583,-114390,66214,232772,40104
1032688,-113875,-107830,40476,317019,166021,-114144,227842,-118464,-114201,66412,233085,40245
1032689,-113852,-107804,40475,317061,166134,-114173,227839,-118448,-114226,66441,233115,40240
1032690,-113860,-107790,40444,317063,166240,-114231,227815,-118431,-114284,66454,233156,40208
1032691,-113887,-107811,40426,317011,166250,-114228,227714,-118413,-114282,66465,233249,40193
1032692,-113871,-107813,40420,317049,166268,-114243,227563,-118421,-114296,66428,233220,40189
1032693,-113888,-107808,40414,317058,166157,-114226,227493,-118469,-114279,66355,233144,40184
1032694,-113941,-107836,40398,317017,166023,-114209,227472,-118497,-114264,66362,233070,40165
1032695,-113970,-107867,40376,316879,166065,-114194,227507,-118529,-114248,66332,232976,40141
1032696,-114004,-107905,40366,316818,166112,-114179,227564,-118570,-114235,66282,232818,40133
1032697,-114033,-107922,40373,316837,166165,-114200,227530,-118591,-114253,66256,232624,40137
1032698,-114051,-107945,40345,316883,166134,-114198,227456,-118578,-114254,66262,232574,40110
1032699,-114064,-107970,40355,316893,166112,-114203,227391,-118584,-114257,66239,232576,40122
1032700,-114114,-107998,40366,316882,166131,-114195,227344,-118574,-114248,66249,232720,40130
1032701,-114135,-107996,40373,316891,166133,-114204,227398,-118564,-114259,66261,232775,40137
1032702,-114095,-107988,40360,316908,166093,-114205,227432,-118560,-114260,66303,232777,40123
1032703,-114035,-107977,40376,316937,166053,-114205,227459,-118536,-114260,66308,232869,40139
1032704,-113975,-107951,40376,316950,166021,-114189,227461,-118514,-114244,66289,232979,40141
1032705,-113956,-107932,40412,316991,165967,-114150,227485,-118467,-114202,66301,233035,40177
1032706,-113931,-107907,40425,317014,165932,-114140,227619,-118464,-114192,66314,233083,40192
1032707,-113897,-107871,40449,317037,165880,-114119,227710,-118448,-114173,66373,233126,40213
1032708,-113884,-107865,40405,316988,165962,-114083,227734,-118412,-114137,66452,233178,40169
1032709,-113875,-107841,40369,316967,166134,-114063,227733,-118410,-114116,66549,233181,40137
1032710,-113846,-107836,40393,317006,166243,-114060,227699,-118401,-114112,66546,233088,40160
1032711,-113819,-107820,40457,317077,166248,-114082,227685,-118412,-114136,66454,232956,40223
1032712,-113855,-107845,40476,317076,166229,-114086,227649,-118418,-114141,66397,232892,40244
1032713,-113862,-107886,40444,317012,166229,-114106,227643,-118446,-114161,66328,232855,40209
1032714,-113888,-107922,40396,316927,166153,-114146,227665,-118513,-114198,66269,232861,40162
1032715,-113899,-107938,40394,316880,166136,-114166,227644,-118541,-114220,66192,232786,40158
1032716,-113919,-107942,40352,316893,166184,-114184,227469,-118562,-114235,66202,232687,40121
1032717,-113952,-107958,40291,316884,166274,-114235,227376,-118588,-114286,66180,232673,40056
1032718,-114007,-107993,40235,316861,166234,-114246,227441,-118586,-114299,66189,232712,40000
1032719,-114037,-107990,40225,316870,166116,-114272,227451,-118585,-114324,66200,232710,39993
1032720,-114033,-107975,40262,316894,165888,-114259,227530,-118576,-114312,66248,232692,40029
1032721,-114054,-107969,40277,316937,165812,-114268,227628,-118567,-114324,66258,232664,40043
1032722,-114079,-107948,40290,316885,165802,-114269,227691,-118539,-114321,66282,232706,40059
1032723,-114050,-107930,40331,316840,165696,-114213,227659,-118490,-114266,66331,232837,40097
1032724,-113998,-107895,40340,316878,165660,-114187,227568,-118464,-114237,66385,232944,40109
1032725,-113978,-107882,40301,316861,165904,-114159,227525,-118476,-114210,66393,233038,40066
1032726,-113990,-107920,40281,316906,166077,-114128,227646,-118467,-114181,66419,233061,40045
1032727,-113948,-107914,40312,317013,166218,-114098,227720,-118465,-114152,66411,232965,40081
1032728,-113886,-107882,40403,317097,166267,-114111,227726,-118456,-114164,66429,232872,40168
1032729,-113819,-107871,40446,317136,166281,-114099,227803,-118458,-114152,66432,232823,40212
1032730,-113781,-107858,40451,317089,166216,-114119,227836,-118438,-114172,66393,232929,40215
1032731,-113811,-107874,40429,317071,166234,-114159,227751,-118434,-114211,66367,233082,40194
1032732,-113870,-107871,40398,316981,166296,-114177,227658,-118449,-114230,66376,233131,40165
1032733,-113919,-107892,40360,316934,166245,-114190,227624,-118491,-114244,66366,233075,40126
