Timestamp (ms),Ch0 (uV),Ch1 (uV),Ch2 (uV),Ch3 (uV),Ch4 (uV),Ch5 (uV),Ch6 (uV),Ch7 (uV),Ch8 (uV),Ch9 (uV),Ch10 (uV),Ch11 (uV)
1001092,-114871,-106772,40342,317047,164569,-116870,227174,-120447,-116926,63754,231674,40106
1001093,-114855,-106747,40328,317041,164471,-116903,227192,-120427,-116956,63766,231547,40090
1001094,-114906,-106794,40302,316953,164399,-116943,227171,-120424,-116997,63810,231543,40067
1001095,-114975,-106856,40221,316808,164348,-116974,227156,-120431,-117025,63841,231670,39989
1001096,-115059,-106921,40187,316665,164275,-117016,227108,-120476,-117068,63905,231893,39954
1001097,-115094,-106929,40208,316650,164110,-117001,227049,-120511,-117054,63944,231999,39972
1001098,-115124,-106969,40190,316561,164073,-116995,226976,-120561,-117047,63972,232011,39954
1001099,-115134,-106982,40135,316478,164086,-116974,226936,-120546,-117027,63945,231968,39899
1001107,-114955,-106878,40051,316692,164206,-116931,226883,-120420,-116983,63906,232217,39815
1001108,-114904,-106844,40136,316748,164255,-116866,227010,-120407,-116919,63933,232096,39904
1001109,-114910,-106844,40177,316714,164313,-116789,227089,-120382,-116842,63929,232138,39939
1001110,-114892,-106812,40209,316715,164259,-116775,227118,-120344,-116831,63971,232209,39978
1001111,-114873,-106776,40221,316848,164284,-116844,227129,-120345,-116897,63967,232174,39987
1001112,-114876,-106784,40181,316885,164319,-116931,227218,-120345,-116985,63902,232184,39948
1001113,-114887,-106804,40140,316864,164417,-117073,227298,-120359,-117127,63813,232158,39903
1001114,-114896,-106831,40089,316848,164388,-117120,227314,-120373,-117170,63809,232045,39855
1001115,-114899,-106853,40109,316806,164301,-117078,227290,-120404,-117130,63814,231863,39873
1001116,-114953,-106885,40094,316722,164264,-116949,227262,-120458,-117004,63813,231662,39861
1001117,-115033,-106927,40092,316737,164332,-116913,227177,-120531,-116963,63709,231760,39861
